id,date,latitude,longitude,magnitude
20239,2010-09-03,-3.650,101.961,5.6
20240,2010-09-04,-2.475,138.470,5.5
20241,2010-09-04,-17.368,-173.999,6.1
20242,2010-09-04,-59.075,-25.494,5.5
20243,2010-09-05,-23.825,179.975,5.6
20244,2010-09-06,-18.314,-175.205,5.5
20245,2010-09-06,-10.965,162.173,5.7
20246,2010-09-07,-6.917,103.461,5.5
20247,2010-09-07,-14.396,-176.243,5.5
20248,2010-09-07,-15.879,-179.306,6.3
20249,2010-09-07,-53.136,-118.171,5.5
20250,2010-09-08,-20.581,169.928,5.6
20251,2010-09-08,-20.671,169.818,6.3
20252,2010-09-08,44.588,149.724,5.5
20253,2010-09-09,-37.034,-73.412,6.2
20254,2010-09-11,-1.068,129.240,5.8
20255,2010-09-11,7.788,94.057,5.8
20256,2010-09-13,41.497,141.986,5.8
20257,2010-09-13,-14.612,-70.777,5.9
20258,2010-09-14,21.487,-105.930,5.6
20259,2010-09-16,-16.031,-173.960,5.8
20260,2010-09-17,36.443,70.774,6.3
20261,2010-09-22,-13.390,-76.073,5.7
20262,2010-09-23,52.233,179.754,5.6
20263,2010-09-23,-5.826,151.544,5.6
20264,2010-09-24,-7.809,-74.373,5.5
20265,2010-09-25,62.854,-149.512,5.5
20266,2010-09-26,-5.573,146.462,5.6
20267,2010-09-26,-5.314,133.917,6
20268,2010-09-26,52.438,179.732,5.8
20269,2010-09-27,57.688,-32.762,5.5
20270,2010-09-27,29.637,51.666,5.9
20271,2010-09-29,37.257,139.883,5.5
20272,2010-09-29,-4.909,133.712,6.2
20273,2010-09-29,-4.963,133.760,7
20274,2010-09-30,-36.249,-74.256,5.8
20275,2010-09-30,-4.949,133.846,5.5
20276,2010-09-30,-0.307,133.498,5.6
20277,2010-09-30,19.706,121.472,5.8
20278,2010-10-02,-6.559,128.751,5.5
20279,2010-10-03,-47.287,100.249,5.5
20280,2010-10-04,19.354,122.157,5.5
20281,2010-10-04,24.270,125.154,6.3
20282,2010-10-06,-17.818,-173.989,5.7
20283,2010-10-08,51.374,-175.361,6.4
20284,2010-10-08,51.287,-175.180,6
20285,2010-10-08,51.334,-175.203,5.7
20286,2010-10-08,2.831,128.217,6.2
20287,2010-10-09,10.211,-84.293,5.8
20288,2010-10-10,51.440,-175.248,5.5
20289,2010-10-12,-4.915,133.710,5.9
20290,2010-10-12,-20.457,-174.205,5.9
20291,2010-10-12,-20.425,-174.065,5.9
20292,2010-10-14,42.311,142.871,5.6
20293,2010-10-16,-20.460,-173.916,5.6
20294,2010-10-16,-7.366,125.699,5.9
20295,2010-10-16,-20.414,-173.846,5.9
20296,2010-10-20,24.540,-109.098,5.9
20297,2010-10-20,24.466,-109.144,5.9
20298,2010-10-20,24.471,-109.026,5.8
20299,2010-10-21,-34.737,-73.726,5.9
20300,2010-10-21,-6.125,150.869,5.5
20301,2010-10-21,24.696,-109.156,6.7
20302,2010-10-22,-20.878,-68.372,5.8
20303,2010-10-23,-29.593,-71.112,5.6
20304,2010-10-23,-56.700,-141.952,5.8
20305,2010-10-23,-37.743,-73.362,5.5
20306,2010-10-25,-0.071,125.059,5.8
20307,2010-10-25,-3.487,100.082,7.8
20308,2010-10-25,-2.958,100.372,6.3
20309,2010-10-25,-2.963,100.504,5.7
20310,2010-10-25,-3.301,100.463,5.9
20311,2010-10-26,-41.494,-85.758,5.6
20312,2010-10-28,23.084,-108.454,5.6
20313,2010-10-28,-5.510,153.744,5.8
20314,2010-10-30,-56.586,-142.292,6.4
20315,2010-10-31,-6.385,150.161,5.8
20316,2010-11-01,-6.370,150.220,5.5
20317,2010-11-01,16.738,-93.793,5.6
20318,2010-11-02,-5.355,151.556,5.8
20319,2010-11-02,47.092,146.747,5.5
20320,2010-11-02,-19.190,168.560,5.5
20321,2010-11-03,43.760,20.730,5.5
20322,2010-11-03,-4.617,134.071,6
20323,2010-11-03,-20.466,-174.280,6.1
20324,2010-11-04,51.236,-176.500,5.5
