YEAR,MONTH,DAY,COUNTRY,LATITUDE,LONGITUDE,DISTANCE_FROM_SOURCE,MAXIMUM_HEIGHT
1674,2,17,INDONESIA,-3.6743,128.7757,114,2
1674,2,17,INDONESIA,-3.3046,127.6079,52,
1674,2,17,MALAYSIA,,,,
1674,2,17,INDONESIA,,,,
1674,2,17,INDONESIA,,,,0.5
1674,2,17,INDONESIA,,,,
1674,2,17,INDONESIA,-3.617,128.25,57,
1674,2,17,INDONESIA,,,,
1674,2,17,INDONESIA,-3.56,128.19,53,
1674,2,17,INDONESIA,-3.5,128.317,69,
1674,2,17,INDONESIA,,,,
1674,2,17,INDONESIA,-3.592,128.335,67,
1674,2,17,INDONESIA,-3.594,128.143,47,
1674,2,17,INDONESIA,-3.6,128.15,47,3
1674,2,17,INDONESIA,,,,
1674,2,17,INDONESIA,,,,
1674,2,17,INDONESIA,,,,100
1674,2,17,INDONESIA,,,,
1674,2,17,INDONESIA,,,,
1674,2,17,INDONESIA,,,,
1674,5,6,INDONESIA,-3.683,128.187,2,
1675,3,,PHILIPPINES,13.144,121.44,50,
1676,11,,JAPAN,36.58,140.67,,
1676,11,,JAPAN,40.933,141.4,,
1676,11,,JAPAN,37.07,140.9,,
1676,,,AZORES (PORTUGAL),38.73,-27.07,0,
1677,4,13,JAPAN,39.65,141.9667,178,
1677,4,13,JAPAN,39.35,141.917,192,
1677,4,13,JAPAN,39.28,141.89,198,
1677,4,13,JAPAN,39.65,141.983,177,6
1677,11,4,JAPAN,35.133,140.25,115,8
1677,11,4,JAPAN,36.933,140.9,222,3
1677,11,4,JAPAN,38.13,140.87,353,4
1677,11,4,JAPAN,36.4833,140.6167,183,2
1677,11,4,JAPAN,,,,
1677,11,4,JAPAN,35.1833,140.3667,105,6
1677,11,4,JAPAN,35.1667,136.9167,418,
1677,11,4,JAPAN,,,,6
1677,11,4,JAPAN,36.97,140.83,227,2
1677,11,4,JAPAN,36.333,140.59,170,2
1677,11,4,JAPAN,36.3667,140.4667,178,
1677,11,4,JAPAN,,,,3
1677,11,4,JAPAN,35.347,140.377,109,5
1677,11,4,JAPAN,35.21617,140.38776,104,7
1677,11,4,JAPAN,33.1,139.77,265,4
1677,11,4,JAPAN,35.75,140.867,101,5
1677,11,4,JAPAN,34.9,139.85,151,
1677,11,4,JAPAN,35.25,140.4,104,4
1677,12,7,PHILIPPINES,14.5,120.6,11,
1678,6,17,PERU,-8.988,-78.647,39,
1680,9,28,JAPAN,36.87,140.78,382,
1680,9,28,JAPAN,34.967,138.383,82,
1681,6,12,SOUTH KOREA,38.2033,128.5886,112,
1681,6,12,SOUTH KOREA,35.4869,128.6211,237,
1681,6,26,SOUTH KOREA,35.4869,128.6211,237,
1682,8,,ITALY,40.668,14.728,,
1682,8,,ITALY,40.7853,14.363,,
1682,8,,ITALY,42.092,11.792,,
1682,8,,ITALY,40.626,14.376,,
1682,8,,ITALY,40.83,14.25,,
1687,7,26,JAPAN,35.61,135.91,,
1687,10,20,JAPAN,39.267,141.883,15299,0.5
1687,10,20,JAPAN,26.167,127.833,17119,
1687,10,20,PERU,-11.567,-77.275,231,
1687,10,20,PERU,-12.19,-77.02,156,
1687,10,20,PERU,-13.45,-76.133333,40,
1687,10,20,PERU,-13.0833,-76.38,48,
1687,10,20,PERU,-13.71,-76.22,38,
1687,10,20,PERU,-12.05,-77.15,176,
1687,10,20,JAPAN,38.3,141.5,15377,2
1687,10,20,PERU,-16.4,-72,581,
1688,3,1,JAMAICA,17.917,-76.867,52,
1688,7,10,TURKEY,38.4188,27.12866,20,
1689,,,JAPAN,39.33,142,,2
1690,2,3,ITALY,40.83,14.25,,
1690,4,16,USA TERRITORY,18.367,-64.933,376,
1690,4,16,GUADELOUPE (FRENCH TERRITORY),16.24,-61.58,140,
1690,4,16,SAINT KITTS AND NEVIS,17.133,-62.617,125,
1692,6,7,JAMAICA,17.867,-76.567,16,
1692,6,7,JAMAICA,17.917,-76.867,22,1.8
1692,6,7,JAMAICA,17.967,-76.8,21,
1692,6,7,JAMAICA,18.433,-77.2,88,
1693,1,11,ITALY,38,15,96,
1693,1,11,MALTA,36.02,14.26,141,
1694,9,8,ITALY,,,,
1696,7,25,JAPAN,36.945,140.9,,
1696,11,25,JAPAN,38.417,141.3,,
1698,5,14,ITALY,40.7853,14.363,7,
1698,5,14,ITALY,40.626,14.376,22,
1698,5,14,ITALY,40.668,14.728,31,
1698,5,14,ITALY,40.83,14.25,15,
1698,5,14,ITALY,42.092,11.792,261,
1698,12,22,JAPAN,33.28,131.7,2,
1699,1,,ITALY,37.5,15.1,39,
1699,3,,JAPAN,32.97,129.8,,
1699,3,,JAPAN,33.17,130.2,,
1699,9,8,JAPAN,35.066,138.54,,
1700,1,27,JAPAN,36.333,140.59,7560,
1700,1,27,JAPAN,33.75,135.375,8105,
1700,1,27,JAPAN,35,138.2,7820,
1700,1,27,JAPAN,39.583,141.98,7235,
1700,1,27,JAPAN,39.65,141.9667,7231,
1700,1,27,JAPAN,39.35,141.917,7256,
1700,1,27,JAPAN,33.717,135.367,8108,
1700,4,1,JAPAN,33.15,130.18,67,
1700,4,16,JAPAN,34.3,129.3,11,6
1700,9,12,NORTH KOREA,,,,
1700,9,12,NORTH KOREA,,,,
1700,9,12,NORTH KOREA,,,,
1700,9,12,NORTH KOREA,,,,
1703,7,2,ITALY,44.398,8.95,3,
1703,12,30,JAPAN,40.16,141.78,632,
1703,12,30,JAPAN,34.56,139.56,27,8.8
1703,12,30,JAPAN,34.95,139.95,31,5
1703,12,30,JAPAN,35.23,140.4049,81,
1703,12,30,JAPAN,34.667,138.95,78,3
1703,12,30,JAPAN,34.917,139.817,24,10
1703,12,30,JAPAN,35.22,139.72,58,6
1703,12,30,JAPAN,35.347,140.377,89,6
1703,12,30,JAPAN,35.65,139.8,106,8
1703,12,30,JAPAN,35.6833,139.7833,109,2
1703,12,30,JAPAN,33.1,139.77,178,3
1703,12,30,JAPAN,34.75,139.92,12,5
1703,12,30,JAPAN,35.1,140.1,52,6.1
1703,12,30,JAPAN,34.81,139.08,67,6
1703,12,30,JAPAN,35.133,140.25,63,7.4
1703,12,30,JAPAN,35.15,140.18,61,6.1
1703,12,30,JAPAN,35.0775,140.10419,50,7
1703,12,30,JAPAN,35.256,139.16,85,4
1703,12,30,JAPAN,35.25,141.72,185,4
